nom,adresse,cp,ville,url,source
Maison Loo, la Pagode de Paris 8e,48 Rue de Courcelles,75008,Paris,,SAP
Palais Royal,8 Rue de Montpensier,75001,Paris,,SAP
Espace Fondation EDF,6, rue Récamier,75007,Paris,,SAP
Château de Versailles,Place d'Armes,78000,Versailles,,SAP
Hôtel de la Marine,2 Place de la Concorde,75001,Paris,,SAP
Galerie Joseph - Turenne,116 Rue de Turenne,75003,Paris,,SAP
Trabendo,Parc de La Villette, 211 avenue Jean Jaures,75019,Paris,,SAP
Musée d'Art Moderne de Paris,11, avenue du Président Wilson,75116,Paris,,SAP
Musée Marmottan-Monet,2, rue Louis Boilly,75116,Paris,,SAP
Musée Carnavalet,23 rue de Sévigné,75003,Paris,,SAP
Grand Point Virgule,8 Rue de l'Arrivée,75015,Paris,,SAP
Théâtre Édouard VII,Place Édouard VII,75009,Paris,,SAP
Théâtre du Châtelet,2 Rue Edouard Colonne,75001,Paris,,SAP
Hôtel national des Invalides,129 Rue de Grenelle,75007,Paris,,SAP
Palais Galliera - Musée de la Mode,10 Avenue Pierre 1er de Serbie,75116,Paris,,SAP
Musée de la Légion d'Honneur,2 Rue de la Légion d'Honneur,75007,Paris,,SAP
Musée d'Art et d'Histoire de l'Hopital Sainte-Anne,1 Rue Cabanis,75014,Paris,,SAP
Musée Curie,1 Rue Pierre et Marie Curie,75005,Paris,,SAP
Mémorial de la Shoah,17 rue geoffroy l´asnier,75004,Paris,,SAP
Maison de Balzac,47, rue Raynouard,75116,Paris,,SAP
Musée Cognacq-Jay,8, rue Elzévir,75003,Paris,,SAP
Musée de la Vie Romantique,16, rue Chaptal,75009,Paris,,SAP
Musée de la Libération de Paris ,4 Avenue du Colonel Henri Rol-Tanguy,75014,Paris,,SAP
Le Beffroi,2 Place Emile Cresp,92120,Montrouge,,SAP
Museum national d'Histoire naturelle,36, rue Geoffroy Saint Hilaire,75005,Paris,,SAP
Collège des Bernardins,20 rue de Poissy,75005,Paris,,SAP
Espace Monte-Cristo,9 Rue Monte-Cristo,75020,Paris,,SAP
galerie Goldshteyn-Saatort,7 Rue de Verneuil,75007,Paris,,SAP
Centre Culturel Canadien,130 Rue du Faubourg Saint-Honoré,75008,Paris,,SAP
Musée d'Art et d'Histoire de Saint-Denis,22 Rue Gabriel Péri,93200,Saint Denis,,SAP
Musée National des Arts Asiatiques Guimet,6, place d´Iéna,75116,Paris,,SAP
L'Aiguillage,19 Rue des Frigos,75013,Paris,,SAP
Gagosian Paris,4 Rue de Ponthieu,75008,Paris,,SAP
Fondation Dubuffet,137 rue de Sèvres,75006,Paris,,SAP
Grand Palais éphémère,2 Allée Adrienne Lecouvreur,75007,Paris,,SAP
Lafayette Anticipations,9 Rue du Plâtre,75004,Paris,,SAP
Monnaie de Paris,11, quai Conti,75006,Paris,,SAP
Musée de la Grande Guerre,Rue Lazare Ponticelli,77100,Meaux,,SAP
Musée National Picasso,5, rue de Thorigny,75003,Paris,,SAP
Musée du Moyen-Age - Musée de Cluny,28 Rue du Sommerard,75005,Paris,,SAP
Musée Delacroix,6, rue de Furstenberg,75006,Paris,,SAP
Musée de la chasse et de la Nature,60, rue des Archives,75003,Paris,,SAP
Musée de l'Air et de l'Espace,Aéroport de Paris - Le Bourget,93350,Le Bourget,,SAP
Musée Français de la Carte à Jouer,16 rue Auguste Gervais,92130,Issy les Moulineaux,,SAP
Musée des Arts Décoratifs,107 rue de Rivoli,75001,Paris,,SAP
Musée Jacquemart André,158 boulevard Haussmann,75008,Paris,,SAP
Cité de l'Economie,1 Place du Général Catroux,75017,Paris,,SAP
Gare au Théâtre,13 Rue Pierre Sémard,94400,Vitry sur Seine,,SAP
Théâtre Montmartre Galabru,4, Rue Armée d'orient,75018,Paris,,SAP
La Michodière,4 bis, rue de la Michodière,75002,Paris,,SAP
Folies Bergère,32 rue Richer,75009,Paris,,SAP
Théâtre du Gymnase Marie-Bell,38 boulevard Bonne-Nouvelle,75010,Paris,,SAP
La Scala,13 Boulevard de Strasbourg,75010,Paris,,SAP
Théâtre Saint-Georges,51 rue Saint-Georges,75009,Paris,,SAP
Théâtre Montparnasse,31 rue de la Gaité,75014,Paris,,SAP
Passage vers les Etoiles,17 Cité Joly,75011,Paris,,SAP
Théâtre 14 Jean-Marie-Serreau,20, avenue Marc Sangnier,75014,Paris,,SAP
Théâtre du Palais royal,38, rue de Montpensier,75001,Paris,,SAP
Théâtre Lepic,1, avenue Junot,75018,Paris,,SAP
Splendid,48 rue du Faubourg Saint-Martin,75010,Paris,,SAP
Le Comédia - Théâtre Libre,4 boulevard de Strasbourg,75010,Paris,,SAP
Le Funambule Montmartre,53 rue des Saules,75018,Paris,,SAP
Théâtre Trévise,14 rue Trévise,75009,Paris,,SAP
Théâtre Tristan Bernard,64 Rue du Rocher,75008,Paris,,SAP
Athénée Théâtre Louis-Jouvet,7 Rue Boudreau,75009,Paris,,SAP
Théâtre du Petit Saint-Martin,17 rue René Boulanger,75010,Paris,,SAP
Artistic Théâtre,45 bis, rue Richard Lenoir,75011,Paris,,SAP
Palais des Glaces,37 rue Faubourg du Temple,75010,Paris,,SAP
Le Lucernaire,53 rue Notre-Dame des Champs,75006,Paris,,SAP
Les Enfants du Paradis, Théâtre à Paris,34 Rue Richer,75009,Paris,,SAP
Comédie de Paris,42 rue Fontaine,75009,Paris,,SAP
Théâtre Traversière,15 rue de Traversière,75012,Paris,,SAP
Théâtre La Flèche,77 Rue de Charonne,75011,Paris,,SAP
Théâtre Michel,38 rue des Mathurins,75008,Paris,,SAP
Théâtre des Blancs Manteaux,15 clos des Blancs Manteaux,75004,Paris,,SAP
Théâtre de la Ville - Espace Cardin,1 Avenue Gabriel,75008,Paris,,SAP
