nom;adr;vil;cp;lng;lat;id;act;accueil_equipements_malentendants_presence;accueil_equipements_malentendants
MUTUALITÉ FRANÇAISE NORD - SIEGE SOCIAL;20 Boulevard Denis Papin;Lille;59015;3.0131205;50.6359154;234192;Assurance;True;lsf,lpc,sts
AXA SAUMUR - Laurent Hamon;29 PLACE DE LA BILANGE;SAUMUR;49400;-0.077144;47.2611;2125397;Assurance;True;lsf,lpc,sts
GENERALE D'OPTIQUE PARIS LECLERC;11 Avenue du Général Leclerc;PARIS;75014;2.33147;48.8328465;298183;Opticien;True;lsf,lpc,sts
MINI FINANCIAL SERVICES;3 rond point des Saules;Guyancourt;78280;2.0594316;48.7857274;2151076;Commerce automobile;True;lsf,lpc,sts
OPTIC 2000 CENTRE COMMERCIAL;68 Avenue DU 11 NOVEMBRE, CENTRE COMMERCIAL MARTROU;ROCHEFORT;17300;1.0120403;47.3242844;293530;Opticien;True;lsf,lpc,sts
OPTIC 2000 MENNESSON;2 Rue CONDORCET;REIMS;51100;4.0280285;49.2543659;295957;Opticien;True;lsf,lpc,sts
0800360360;14 avenue Duquesne;Paris;75350;2.309102;48.8521148;21526862;Administration publique;True;lsf,lpc,sts
"1. Flore &amp; Sens";3bis avenue G.Annel;Maulette;78550;1.609903;48.774251;2138033;Fleuriste;True;lsf,lpc,sts
10 STRICT OPTICIENS;2 Avenue PASTEUR;PESSAC;33600;-0.646966;44.8023602;294598;Opticien;True;lsf,lpc,sts
10 strict opticien;15 Route du trou d'eau;LA SALINE LES BAINS;97434;55.2367527;-21.0940856;2100223;Opticien;True;lsf,lpc,sts
10 strict opticiens;8 Avenue de l'yser;MERIGNAC;33700;-0.648202;44.841644;294518;Opticien;True;lsf,lpc,sts
10STRICT OPTICIENS;591 Anc route DE TOULOUSE;PONT DE LA MAYE;33140;-0.566751;44.787786;294522;Opticien;True;lsf,lpc,sts
10optic;4 Boulevard de l'ouest;LA CHAPELLE ST LUC;10600;4.0287724;48.3046528;293064;Opticien;True;lsf,lpc,sts
12/10E LES OPTICIENS LUNETIERS;14 Rue DE LA REPUBLIQUE;LA TALAUDIERE;42350;4.4335873;45.481442;295361;Opticien;True;lsf,lpc,sts
19091990;Centr Ccial carrefour le clos aux antes;TOURVILLE LA RIVIERE;76410;1.105122;49.328117;298318;Opticien;True;lsf,lpc,sts
26 passage;26 passage Verdeau;PARIS;75009;2.3423713;48.8736846;213688;Bijouterie joaillerie;True;lsf,lpc,sts
