id;name;postal_code;commune;numero;voie;lieu_dit;code_insee;siret;activite;contact_url;site_internet;longitude;latitude;transport_station_presence;stationnement_presence;stationnement_pmr;stationnement_ext_presence;stationnement_ext_pmr;cheminement_ext_presence;cheminement_ext_terrain_stable;cheminement_ext_plain_pied;cheminement_ext_ascenseur;cheminement_ext_nombre_marches;cheminement_ext_reperage_marches;cheminement_ext_sens_marches;cheminement_ext_main_courante;cheminement_ext_rampe;cheminement_ext_pente_presence;cheminement_ext_pente_degre_difficulte;cheminement_ext_pente_longueur;cheminement_ext_devers;cheminement_ext_bande_guidage;cheminement_ext_retrecissement;entree_reperage;entree_vitree;entree_vitree_vitrophanie;entree_plain_pied;entree_ascenseur;entree_marches;entree_marches_reperage;entree_marches_main_courante;entree_marches_rampe;entree_marches_sens;entree_dispositif_appel;entree_dispositif_appel_type;entree_balise_sonore;entree_aide_humaine;entree_largeur_mini;entree_pmr;entree_porte_presence;entree_porte_manoeuvre;entree_porte_type;accueil_visibilite;accueil_personnels;accueil_equipements_malentendants_presence;accueil_equipements_malentendants;accueil_cheminement_plain_pied;accueil_cheminement_ascenseur;accueil_cheminement_nombre_marches;accueil_cheminement_reperage_marches;accueil_cheminement_main_courante;accueil_cheminement_rampe;accueil_cheminement_sens_marches;accueil_retrecissement;sanitaires_presence;sanitaires_adaptes;labels;labels_familles_handicap;registre_url;conformite
1718;Bibliothèque médiathèque;56100;Lorient;4;Place François Mitterrand;;56121;Non Renseigné;Bibliothèque médiathèque;Non Renseigné;Non Renseigné;-3.3658667982809809;47.7546687886187797;True;False;False;True;True;True;True;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;2;;True;Porte coulissante;Automatique;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;True
2645;Aire de camping-car avec services de Ploemeur;56270;Ploemeur;11;Rue Louis Lessart;;56162;Non Renseigné;Camping caravaning;Non Renseigné;Non Renseigné;-3.43101040106121;47.7379139021418;True;False;False;True;False;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;False
3172;Concessionnaire automobile;56270;Ploemeur;9013;Rue Jean Moulin;;56162;Non Renseigné;Commerce;Non Renseigné;Non Renseigné;-3.41783899822727;47.7326687072226;False;False;False;True;False;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;False
3219;Constructeur de piscine;56530;Quéven;6715;Rue Lavoisier;Z.A.C   LE   MOURILLON;56185;Non Renseigné;Entreprise;Non Renseigné;Non Renseigné;-3.41551157100411;47.7789651073328;False;False;False;True;False;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;False
3228;Ambulancier;56700;Hennebont;44;Rue Maréchal Joffre;;56083;Non Renseigné;Service ou aide à domicile;Non Renseigné;Non Renseigné;-3.27448462807467;47.8074185303632;True;False;False;True;False;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;False
3576;Garage;56290;Port-Louis;2;Rue de la Digue;;56181;Non Renseigné;Commerce;Non Renseigné;Non Renseigné;-3.34847044779507;47.7087887751973;False;False;False;True;False;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;False
2291;Photographe;56700;Hennebont;4;Rue Nationale;;56083;Non Renseigné;Commerce;Non Renseigné;Non Renseigné;-3.27454946012434;47.8058930194303;True;False;False;True;False;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;True
3818;Cheminées Nicolas;56600;Lanester;70;Avenue Ambroise Croizat;;56098;Non Renseigné;Commerce;Non Renseigné;Non Renseigné;-3.3469083086445317;47.773813928513434;True;False;False;True;False;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;False
3185;Laboratoire d'analyses médicales;56240;Plouay;1;Rue de Kerveline;;56166;Non Renseigné;Profession libérale de santé;Non Renseigné;Non Renseigné;-3.33069169174953;47.9178993906425;False;False;False;True;False;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;False
2867;Ophtalmologiste;56100;Lorient;14;Rue Victor Massé;;56121;Non Renseigné;Profession libérale de santé;Non Renseigné;Non Renseigné;-3.36143988007779;47.7509309608124;True;False;False;True;True;True;False;True;;;;;;;;;;;;;False;True;True;False;False;False;False;FAUX;False;False;False;;;;;;False;;;False;Non Renseigné;True;Non Renseigné;False;False;;;;;;;False;False;dpt;moteur;NR;True
