id;name;postal_code;commune;numero;voie;lieu_dit;code_insee;siret;activite;contact_url;site_internet;longitude;latitude;transport_station_presence;stationnement_presence;stationnement_pmr;stationnement_ext_presence;stationnement_ext_pmr;cheminement_ext_presence;cheminement_ext_terrain_stable;cheminement_ext_plain_pied;cheminement_ext_ascenseur;cheminement_ext_nombre_marches;cheminement_ext_reperage_marches;cheminement_ext_sens_marches;cheminement_ext_main_courante;cheminement_ext_rampe;cheminement_ext_pente_presence;cheminement_ext_pente_degre_difficulte;cheminement_ext_pente_longueur;cheminement_ext_devers;cheminement_ext_bande_guidage;cheminement_ext_retrecissement;entree_reperage;entree_vitree;entree_vitree_vitrophanie;entree_plain_pied;entree_ascenseur;entree_marches;entree_marches_reperage;entree_marches_main_courante;entree_marches_rampe;entree_marches_sens;entree_dispositif_appel;entree_dispositif_appel_type;entree_balise_sonore;entree_aide_humaine;entree_largeur_mini;entree_pmr;entree_porte_presence;entree_porte_manoeuvre;entree_porte_type;accueil_visibilite;accueil_personnels;accueil_equipements_malentendants_presence;accueil_equipements_malentendants;accueil_cheminement_plain_pied;accueil_cheminement_ascenseur;accueil_cheminement_nombre_marches;accueil_cheminement_reperage_marches;accueil_cheminement_main_courante;accueil_cheminement_rampe;accueil_cheminement_sens_marches;accueil_retrecissement;sanitaires_presence;sanitaires_adaptes;labels;labels_familles_handicap;registre_url;conformite
2;Agence Nestenn Immobilier;34300;AGDE;65; Rue Brescou;;34003;81378429500020;Agence immobili�re;https://immobilier-agde.nestenn.com/contact;https://immobilier-agde.nestenn.com/;3.4743220;43.3103870;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
3;Agence Nestenn Immobilier;47000;AGEN;163; Boulevard Carnot;;47001;84338490000018;Agence immobili�re;https://immobilier-agen.nestenn.com/contact;https://immobilier-agen.nestenn.com/;0.6227960;44.2070360;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
4;Agence Nestenn Immobilier;20000;AJACCIO CENTRE;57; rue Cardinal Fesch;;20004;90207837700014;Agence immobili�re;https://immobilier-ajaccio.nestenn.com/contact;https://immobilier-ajaccio.nestenn.com/;8.7384200;41.9239100;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
5;Agence Nestenn Immobilier;20090;AJACCIO FRANCHINI;;"Espace Eug�nie
Avenue No�l Franchini";;20004;90207837700014;Agence immobili�re;https://immobilier-ajaccio.nestenn.com/contact;https://immobilier-ajaccio.nestenn.com/;8.754771419722639;41.93853392014029;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
6;Agence Nestenn Immobilier;80300;ALBERT;2; Rue Gambetta;;80016;53073260100014;Agence immobili�re;https://immobilier-albert.nestenn.com/contact;https://immobilier-albert.nestenn.com/;2.6470000;50.0038100;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
7;Agence Nestenn Immobilier;81000;ALBI;126; Avenue de Saint-Ju�ry;;81004;88114352300028;Agence immobili�re;https://immobilier-albi.nestenn.com/contact;https://immobilier-albi.nestenn.com/;2.1811210;43.9367910;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
8;Agence Nestenn Immobilier;13190;ALLAUCH;164;Avenue Lei Rima;;13002;79233962400019;Agence immobili�re;https://immobilier-allauch.nestenn.com/contact;https://immobilier-allauch.nestenn.com/;5.4884000;43.3573000;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
9;Agence Nestenn Immobilier;1500;AMBERIEU EN BUGEY;41; Avenue du g�n�ral de Gaulle;;1004;85100555300017;Agence immobili�re;https://immobilier-amberieu-en-bugey.nestenn.com/contact;https://immobilier-amberieu-en-bugey.nestenn.com/;5.3544783;45.9640038;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
10;Agence Nestenn Immobilier;37400;AMBOISE;1; Rue Voltaire;;37003;81394923700016;Agence immobili�re;https://immobilier-amboise.nestenn.com/contact;https://immobilier-amboise.nestenn.com/;0.9815000;47.4119600;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
11;Agence Nestenn Immobilier;80000;AMIENS CENTRE;17; Rue de Beauvais;;80021;90163329700014;Agence immobili�re;https://immobilier-amiens-centre.nestenn.com/contact;https://immobilier-amiens-centre.nestenn.com/;2.2938000;49.8928000;True;;;True;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;True;;;True;;;;;;;;;;;;;;;;;;;;
